Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,3/3/1972,0-10,1,32.6,48.3
LUTZ *,3/3/1972,0-10,2,36.6,57.7
LUTZ *,3/3/1972,0-10,3,41.7,71.4
LUTZ *,3/3/1972,0-10,4,40,66.7
LUTZ *,3/3/1972,0-10,5,34.6,52.9
LUTZ *,3/3/1972,0-10,6,37.5,60
LUTZ *,3/3/1972,0-10,7,38.3,62.2
LUTZ *,3/3/1972,0-10,8,34.6,53
LUTZ *,3/3/1972,0-10,9,36.7,57.9
LUTZ *,3/3/1972,0-10,10,26.1,35.3
LUTZ *,3/3/1972,0-5,1,36.8,58.3
LUTZ *,3/3/1972,0-5,2,43.5,77.1
LUTZ *,3/3/1972,0-5,3,41.5,71
LUTZ *,3/3/1972,0-5,4,35.7,55.6
LUTZ *,3/3/1972,0-5,5,34.2,51.9
LUTZ *,3/3/1972,0-5,6,46.8,87.9
LUTZ *,3/3/1972,0-5,7,41.6,71.2
LUTZ *,3/3/1972,0-5,8,36.8,58.2
LUTZ *,3/3/1972,0-5,9,37.4,59.7
LUTZ *,3/3/1972,0-5,10,46.1,85.4
LUTZ *,3/3/1972,30-40,1,29.5,41.9
LUTZ *,3/3/1972,30-40,2,46.9,88.3
LUTZ *,3/3/1972,30-40,3,40.8,68.9
LUTZ *,3/3/1972,30-40,4,43,75.3
LUTZ *,3/3/1972,30-40,5,32.5,48.1
LUTZ *,3/3/1972,30-40,6,34.6,52.8
LUTZ *,3/3/1972,30-40,7,36.4,57.1
LUTZ *,3/3/1972,30-40,8,35.4,54.8
LUTZ *,3/3/1972,30-40,9,36.6,57.7
LUTZ *,3/3/1972,30-40,10,33.3,50
LUTZ *,3/17/1972,0-10,1,32.6,48.5
LUTZ *,3/17/1972,0-10,2,40.5,68.1
LUTZ *,3/17/1972,0-10,3,39.3,64.6
LUTZ *,3/17/1972,0-10,4,35.9,56
LUTZ *,3/17/1972,0-10,5,26,35.1
LUTZ *,3/17/1972,0-10,6,38.1,61.5
LUTZ *,3/17/1972,0-10,7,32.6,48.5
LUTZ *,3/17/1972,0-10,8,34.7,53.2
LUTZ *,3/17/1972,0-10,9,32.3,47.7
LUTZ *,3/17/1972,0-10,10,29.9,42.7
LUTZ *,3/17/1972,0-5,1,33.9,51.4
LUTZ *,3/17/1972,0-5,2,38.8,63.3
LUTZ *,3/17/1972,0-5,3,38.6,62.7
LUTZ *,3/17/1972,0-5,4,36.1,56.5
LUTZ *,3/17/1972,0-5,5,27.5,37.9
LUTZ *,3/17/1972,0-5,6,41.5,71.1
LUTZ *,3/17/1972,0-5,7,41.2,70
LUTZ *,3/17/1972,0-5,8,32.7,48.7
LUTZ *,3/17/1972,0-5,9,30.2,43.3
LUTZ *,3/17/1972,0-5,10,37,58.7
LUTZ *,3/17/1972,30-40,1,29.8,42.4
LUTZ *,3/17/1972,30-40,2,28.9,40.6
LUTZ *,3/17/1972,30-40,3,40,66.7
LUTZ *,3/17/1972,30-40,4,42.9,75
LUTZ *,3/17/1972,30-40,5,33.3,50
LUTZ *,3/17/1972,30-40,6,30.8,44.6
LUTZ *,3/17/1972,30-40,7,36.4,57.1
LUTZ *,3/17/1972,30-40,8,35.5,55.1
