sp,var,mean,95_CI,CV
Ama,BD,13.0,12-13.9,0.21
Aad,BD,3.3,3-3.5,0.12
Pgu,BD,5.8,5.4-6.3,0.23
Agr,BD,3.4,3.1-3.8,0.21
Bal,BD,1.4,1.2-1.7,0.41
Cbr,BD,1.9,1.7-2.1,0.26
Cca,BD,3.2,2.6-3.7,0.55
Cgr,BD,3.4,2.8-4.2,0.48
Cmo,BD,3.4,3-3.9,0.30
Cod,BD,6.7,5.9-7.3,0.30
Cgl,BD,6.0,5.3-6.6,0.33
Car,BD,1.8,1.7-2,0.24
Cal,BD,4.3,3.7-5,0.39
Dre,BD,6.4,5.9-6.9,0.13
Dam,BD,7.2,6.3-8.2,0.43
Dol,BD,2.5,2.2-2.8,0.26
Ecy,BD,6.1,5.5-6.7,0.25
Efu,BD,8.8,8-10.2,0.28
Gse,BD,8.8,7.6-10.1,0.45
Gul,BD,7.3,6.3-8.2,0.39
Gsu,BD,0.8,0.7-1,0.27
Hcr,BD,10.2,9.2-11.4,0.27
Ipu,BD,4.7,4-5.5,0.48
Isp,BD,3.1,2.8-3.4,0.18
Lse,BD,6.9,6.1-7.7,0.31
Mca,BD,8.3,7-9.7,0.52
Opy,BD,11.1,9.8-12.4,0.34
Oma,BD,3.7,3.4-4,0.15
Pqu,BD,9.7,8.6-10.9,0.35
Ppu,BD,0.6,0.5-0.7,0.35
Ctr,BD,2.9,2.4-3.6,0.65
Zlo,BD,3.5,3.2-3.7,0.09
Pte,BD,1.4,1.2-1.5,0.18
Pof,BD,2.4,2.1-2.7,0.18
Pro,BD,3.0,2.6-3.7,0.54
Ssn,BD,5.7,5.2-6.3,0.25
Sgl,BD,6.0,5.1-6.9,0.44
Ssa,BD,2.8,2.6-3.2,0.30
Smo,BD,7.5,6.4-8.6,0.48
Sma,BD,4.7,4.3-5.1,0.17
Tgu,BD,4.5,4.1-5,0.13
Tim,BD,3.9,3.5-4.2,0.23
Tro,BD,7.0,6.5-7.5,0.22
Tgr,BD,8.5,7.8-9.3,0.22
Tam,BD,4.6,4.2-5,0.23
Thi,BD,3.6,3.3-4.1,0.32
Vfe,BD,2.4,2-2.8,0.29
Vgu,BD,4.0,3.6-4.3,0.09
Xfr,BD,2.4,2.1-2.7,0.34
Ama,H,6.7,6.3-7.2,0.22
Aad,H,2.9,2.7-3.1,0.15
Pgu,H,3.1,2.9-3.3,0.18
Agr,H,1.6,1.4-1.8,0.26
Bal,H,0.8,0.7-1,0.70
Cbr,H,1.0,0.9-1.1,0.28
Cca,H,1.6,1.3-1.9,0.66
Cgr,H,1.7,1.4-2,0.51
Cmo,H,1.7,1.5-1.9,0.25
Cod,H,2.0,1.7-2.3,0.41
Cgl,H,3.3,3-3.6,0.27
Car,H,0.7,0.6-0.7,0.19
Cal,H,2.1,1.7-2.5,0.47
Dre,H,2.8,2.6-3.1,0.10
Dam,H,2.6,2.4-2.9,0.31
Dol,H,1.5,1.3-1.8,0.32
Ecy,H,2.7,2.5-2.8,0.15
Efu,H,2.4,2.2-2.7,0.26
Gse,H,4.1,3.4-4.8,0.57
Gul,H,3.4,2.9-3.9,0.39
Gsu,H,0.4,0.3-0.4,0.38
Hcr,H,2.3,2.1-2.6,0.27
Ipu,H,1.6,1.3-1.8,0.50
Isp,H,1.2,1-1.3,0.25
Lse,H,2.6,2.3-2.8,0.22
Mca,H,4.2,3.5-5.1,0.62
Opy,H,5.2,4.5-5.8,0.32
Oma,H,1.2,1.1-1.4,0.26
Pqu,H,2.6,2.3-2.9,0.35
Ppu,H,0.3,0.3-0.4,0.25
Ctr,H,1.7,1.4-2.2,0.67
Zlo,H,1.3,1.2-1.4,0.13
Pte,H,0.6,0.5-0.8,0.24
Pof,H,1.1,0.9-1.2,0.15
Pro,H,1.2,1-1.6,0.59
Ssn,H,3.0,2.7-3.2,0.19
Sgl,H,2.6,2.2-3.1,0.53
Ssa,H,1.6,1.4-1.9,0.39
Smo,H,3.0,2.5-3.4,0.50
Sma,H,2.6,2.3-2.8,0.20
Tgu,H,2.3,2.1-2.5,0.13
Tim,H,2.2,2-2.4,0.20
Tro,H,3.1,2.9-3.3,0.24
Tgr,H,4.5,3.9-5.1,0.30
Tam,H,2.7,2.3-3.1,0.43
Thi,H,2.2,1.9-2.6,0.50
Vfe,H,1.0,0.9-1.2,0.25
Vgu,H,1.5,1.3-1.6,0.25
Xfr,H,1.5,1.3-1.7,0.37
