ndays,MJm2
2192,19.782
2193,20.268
2194,14.236956
2195,18.612
2196,14.148
2197,17.082
2198,18.594
2199,19.494
2200,19.368
2201,20.574
2202,13.750956
2203,12.456
2204,11.754
2205,17.85386445
2206,20.196
2207,20.484
2208,21.402
2209,21.294
2210,21.402
2211,20.268
2212,21.798
2213,18.47722035
2214,20.79
2215,19.872
2216,21.006
2217,13.05
2218,16.182
2219,20.484
2220,11.484
2221,18.468
2222,19.998
2223,22.014
2224,21.798
2225,19.872
2226,21.474
2227,21.42
2228,21.69
2229,21.978
2230,19.566
2231,21.276
2232,19.386
2233,19.26
2234,19.584
2235,22.302
2236,23.4
2237,23.85
2238,20.592
2239,18.792
2240,15.372
2241,14.976
2242,17.28
2243,13.986
2244,23.526
2245,23.508
2246,18.072
2247,20.268
2248,24.21
2249,22.5
2250,24.246
2251,23.994
2252,22.482
2253,20.322
2254,16.846956
2255,24.478956
2256,22.896
2257,24.804
2258,23.866956
2259,22.552956
2260,21.708
2261,21.832956
2262,24.586956
2263,22.59
2264,22.444956
2265,23.758956
2266,24.964956
2267,26.028
2268,22.41
2269,20.502
2270,13.572
2271,16.668
2272,22.588956
2273,16.918956
2274,21.454956
2275,24.696
2276,19.960956
2277,20.394
2278,9.342
2279,22.966956
2280,10.458
2281,21.490956
2282,14.632956
2283,18.052956
2284,22.678956
2285,16.884
2286,15.964956
2287,18.27
2288,23.49
2289,21.762
2290,24.748956
2291,12.762
2292,13.356
2293,13.536
2294,22.608
2295,21.978
2296,20.21838131
2297,22.104
2298,5.22
2299,19.82865607
2300,19.31156587
2301,7.596
2302,11.826
2303,15.39
2304,11.448
2305,18.09
2306,21.708
2307,18.468
2308,22.014
2309,25.632
2310,22.806
2311,14.652
2312,20.466
2313,18.468
2314,11.142
2315,16.20799708
2316,12.06
2317,18.378
2318,19.26
2319,22.788
2320,25.308
2321,21.996
2322,24.264
2323,23.418
2324,23.814
2325,24.84
2326,21.906
2327,10.026
2328,24.03
2329,24.012
2330,12.366
2331,16.704
2332,3.528
2333,15.29668227
2334,10.674
2335,15.876
2336,20.898
2337,15.28242197
2338,7.83
2339,13.446
2340,24.786
2341,23.112
2342,23.022
2343,20.304
2344,22.086
2345,20.896956
2346,18.774
2347,13.460904
2348,16.666956
2349,15.462
2350,19.564956
2351,17.385912
2352,6.048
2353,8.366904
2354,13.86323316
2355,17.496
2356,5.809824
2357,12.454956
2358,13.803912
2359,12.456
2360,13.930956
2361,18.576
2362,13.803912
2363,13.13456318
2364,10.854
2365,13.54851378
2366,14.346
2367,16.578
2368,12.742956
2369,16.502904
2370,10.222956
2371,9.807948
2372,9.196956
2373,13.73404455
2374,14.886
2375,12.672
2376,10.656
2377,14.148
2378,13.158
2379,7.308
2380,15.822
2381,13.58286836
2382,12.762
2383,15.552
2384,6.93
2385,20.484
2386,22.086
2387,13.72102027
2388,6.156
2389,8.424
2390,18.617328
2391,17.883
2392,18.947484
2393,11.425176
2394,7.309296
2395,13.76712
2396,18.592596
2397,12.773556
2398,17.741016
2399,16.463664
2400,13.69043466
2401,18.024948
2402,15.754068
2403,20.508624
2404,19.148616
2405,10.690956
2406,15.748956
2407,19.060956
2408,12.78
2409,12.042
2410,20.268
2411,20.808
2412,18.918
2413,17.205948
2414,8.710956
2415,11.608956
2416,13.194
2417,6.712956
2418,17.115948
2419,13.318956
2420,9.846
2421,8.136
2422,16.162956
2423,8.184816
2424,18.468
2425,16.092
2426,12.004956
2427,8.962956
2428,14.76
2429,12.417948
2430,20.304
2431,6.604956
2432,9.034956
2433,13.156956
2434,17.044452
2435,17.512956
2436,14.4929053
2437,15.174
2438,16.47
2439,11.538
2440,13.878
2441,14.53834596
2442,14.45901827
2443,14.3571484
2444,12.87
2445,14.13709412
2446,13.554
2447,9.432
2448,14.49236129
2449,10.458
2450,14.75795374
2451,20.376
2452,14.90003381
2453,10.458
2454,12.654
2455,12.87
2456,14.81561203
2457,17.874
2458,15.768
2459,9.162
2460,17.694
2461,12.042
2462,15.14033012
2463,15.07283792
2464,22.5
2465,14.5966152
2466,8.244
2467,14.33510869
2468,14.08557156
2469,11.538
2470,22.896
2471,13.66527081
2472,2.232
2473,13.47667472
2474,4.914
2475,13.32079859
2476,8.442
2477,13.68
2478,15.48
2479,7.938
2480,6.228
2481,14.02733796
2482,11.556
2483,13.88842757
2484,14.058
2485,13.96038069
2486,17.712
2487,17.568
2488,13.94687844
2489,6.21
2490,13.70591448
2491,13.3347028
2492,13.36639012
2493,13.59
2494,11.25
2495,18.072
2496,11.052
2497,9.342
2498,13.41576425
2499,10.638
2500,16.668
2501,19.692
2502,15.696
2503,16.362
2504,11.844
2505,17.586
2506,13.788
2507,4.824
2508,6.138
2509,9.468
2510,18.162
2511,12.59681137
2512,7.92
2513,15.048
2514,7.956
2515,10.746
2516,12.24777005
2517,17.766
2518,8.748
2519,14.148
2520,16.056
2521,18.702
2522,14.166
2523,18.072
2524,17.172
2525,14.67
2526,15.174
2527,13.248
2528,18.486
2529,15.444
2530,13.84035978
2531,13.94212452
2532,14.01048996
2533,11.43
2534,12.978
2535,9.648
2536,15.642
2537,16.38
2538,17.298
2539,18.81
2540,17.082
2541,14.58
2542,17.586
2543,16.56
2544,17.784
2545,17.568
2546,16.092
2547,16.776
2548,15.768
2549,10.026
2550,17.874
2551,19.512
2552,15.678
2553,15.66
2554,19.17
2555,14.076
