,a85_90,aCIL85_90,aCIR85_90,a90_95,aCIL90_95,aCIR90_95,b85_90,bCIL85_90,bCIR85_90,b90_95,bCIL90_95,bCIR90_95,c85_90,cCIL85_90,cCIR85_90,c90_95,cCIL90_95,cCIR90_95,L5085_90,L5090_95
Acacia melanoceras,-3.69,-4.12,-3.3,-4.18,-4.91,-3.58,-0.34,-1.37,0.79,0.47,-0.74,1.74,46,0.025,94,51,0.94,96,0,0.05
Acalypha diversifolia,-2.08,-2.16,-2,-2.23,-2.32,-2.13,1.17,0.88,1.43,1.1,0.76,1.44,0.054,0.032,0.083,0.03,0.015,0.047,0.11,0.11
Acalypha macrostachya,-3.38,-3.67,-3.08,-3.28,-3.66,-2.95,1.23,0.46,2.06,1.45,0.39,2.42,47,0.089,94,0.0019,1.00E-04,0.0052,0.11,0.12
Adelia triloba,-3.03,-3.28,-2.79,-3.69,-4.13,-3.26,1.87,1.17,2.66,1.16,0.19,2.24,0.0058,0.0016,0.011,50,4.3,99,0.14,0.11
Aegiphila panamensis,-3.74,-4.22,-3.35,-3.75,-4.18,-3.33,1.05,-0.01,2.01,1.52,0.56,2.5,49,0.97,95,50,2.4,95,0.1,0.13
Alchornea costaricensis,-3.2,-3.46,-2.97,-3.65,-4.1,-3.23,1.85,1.29,2.42,2.24,1.23,3.23,49,3.3,98,0.009,4.00E-04,0.026,0.14,0.15
Alchornea latifolia,-4.17,-4.86,-3.54,-,-,-,0.32,-0.88,1.53,-,-,-,50,1.8,97,-,-,-,0.02,-
Alibertia edulis,-2.49,-2.62,-2.37,-2.76,-2.93,-2.61,0.41,-0.02,0.82,0.85,0.35,1.37,0.063,0.0071,0.16,47,0.0088,95,0.04,0.09
Allophylus psilospermus,-3.09,-3.32,-2.87,-3.5,-3.86,-3.17,0.65,-0.04,1.35,0.83,-0.08,1.76,52,3.8,98,50,0.76,94,0.07,0.09
Alseis blackiana,-1.24,-1.27,-1.21,-1.54,-1.58,-1.49,0.87,0.76,0.99,1.11,0.97,1.27,0.18,0.15,0.21,0.17,0.12,0.22,0.09,0.11
Anaxagorea panamensis,-2.61,-2.82,-2.38,-2.3,-2.5,-2.11,3.11,2.22,3.97,1.84,1.06,2.71,0.0028,0.0018,0.0039,0.0018,0.0011,0.0026,0.16,0.14
Andira inermis,-2.95,-3.15,-2.76,-3.69,-4.13,-3.25,0.4,-0.25,1.06,-0.02,-1.16,1.01,49,1.3,96,50,0.29,94,0.04,0
Annona acuminata,-2.44,-2.57,-2.33,-2.54,-2.67,-2.42,1.64,1.32,1.97,1.1,0.7,1.49,0.1,0.035,0.19,17,0.04,84,0.13,0.11
Annona spraguei,-2.59,-2.73,-2.45,-2.6,-2.75,-2.47,1.91,1.45,2.38,1.82,1.42,2.25,0.025,0.011,0.041,0.33,0.017,1.6,0.14,0.14
Apeiba membranacea,-3.55,-3.93,-3.19,-3.83,-4.32,-3.38,1.82,1.01,2.61,1.27,0.22,2.28,48,0.55,95,50,0.39,95,0.14,0.12
Apeiba tibourbou,-3.91,-4.46,-3.41,-3.97,-4.55,-3.45,1.35,0.27,2.52,1.07,0,2.18,50,5.1,100,50,5,100,0.12,0.1
Aphelandra sinclairiana,-3.99,-4.52,-3.4,-3.98,-4.53,-3.41,0.86,-0.29,1.97,1.2,0.01,2.3,48,0.017,95,49,0.13,95,0.09,0.11
Appunia seibertii,-3.98,-4.52,-3.44,-,-,-,0.76,-0.42,1.97,-,-,-,48,0.14,94,-,-,-,0.08,-
Ardisia bartlettii,-,-,-,-4.17,-4.94,-3.57,-,-,-,0.79,-0.49,1.9,-,-,-,47,0.095,94,-,0.08
Ardisia fendleri,-3.51,-3.84,-3.16,-3.37,-3.69,-3.06,-0.19,-1.08,0.77,-0.72,-1.58,0.14,49,0.89,95,51,4.4,100,0,0
Ardisia guianensis,-4.13,-4.66,-3.61,-3.73,-4.18,-3.33,2.68,1.85,3.63,1.37,0.28,2.27,45,0.0044,94,48,1.7,96,0.15,0.12
Aspidosperma spruceanum,-2.66,-2.79,-2.53,-2.85,-3.02,-2.67,0.36,-0.1,0.87,0.34,-0.24,0.93,50,3.1,97,50,6,100,0.03,0.03
Astrocaryum standleyanum,-3.37,-3.69,-3.09,-,-,-,0.24,-0.68,1.17,-,-,-,49,0.058,95,-,-,-,0.01,-
Astronium graveolens,-3.5,-3.91,-3.13,-3.3,-3.6,-3.05,1.42,0.53,2.57,1.18,0.42,1.96,0.0079,1.00E-04,0.035,47,0.089,95,0.12,0.11
Attalea butyracea,-4.2,-4.89,-3.57,-,-,-,0.36,-0.83,1.69,-,-,-,48,4.8,99,-,-,-,0.03,-
Bactris barronis,-3.95,-4.5,-3.42,-,-,-,0,-1.33,1.07,-,-,-,49,0.17,94,-,-,-,0,-
Bactris coloradonis,-4.21,-4.89,-3.52,-,-,-,0.46,-0.81,1.69,-,-,-,50,0.12,94,-,-,-,0.04,-
Bactris major,-2.88,-3.09,-2.69,-3.33,-3.63,-3.03,1.24,0.6,1.86,-0.06,-0.94,0.78,0.0069,0.0014,0.015,48,0.021,95,0.11,0
Banara guianensis,-3.86,-4.34,-3.37,-4.18,-4.85,-3.52,1.04,0.04,2.25,0.7,-0.6,1.84,49,0.93,96,51,5.5,100,0.1,0.07
Beilschmiedia pendula,-1.67,-1.72,-1.61,-1.96,-2.03,-1.9,0.07,-0.1,0.27,-0.07,-0.31,0.15,0.065,0.046,0.084,0.12,0.05,0.21,0,0
Brosimum alicastrum,-2.54,-2.66,-2.43,-2.85,-3.05,-2.68,0.11,-0.3,0.56,-0.3,-0.87,0.29,49,0.39,95,50,3.4,98,0,0
