"","sp","Latin","wsg"
"1","ade1tr","Adelia triloba",0.6045
"2","aegipa","Aegiphila panamensis",0.656667
"3","alchco","Alchornea costaricensis",0.301
"4","alchla","Alchornea latifolia",0.420263
"5","allops","Allophylus psilospermus",0.513308
"6","alsebl","Alseis blackiana",0.536
"7","amaico","Amaioua corymbosa",0.625
"8","anacex","Anacardium excelsum",0.391286
"9","andiin","Andira inermis",0.641952
"10","annosp","Annona spraguei",0.559
"11","apeihy","Apeiba hybrid",0.278333
"12","apeime","Apeiba membranacea",0.278333
"13","apeiti","Apeiba tibourbou",0.2
"14","aphesi","Aphelandra sinclairiana",0.652
"15","aspicr","Aspidosperma spruceanum",0.753333
"16","ast2gr","Astronium graveolens",0.868143
"17","beilpe","Beilschmiedia pendula",0.507
"18","brosal","Brosimum alicastrum",0.60775
"19","casear","Casearia arborea",0.573826
"20","caseco","Casearia commersoniana",0.632639
"21","casesy","Casearia sylvestris",0.703346
"22","cassel","Cassipourea elliptica",0.637409
"23","cavapl","Cavanillesia platanifolia",0.36
"24","cecrin","Cecropia insignis",0.3175
"25","cecrlo","Cecropia longipes",0.336226
"26","cecrob","Cecropia obtusifolia",0.307333
"27","cedrod","Cedrela odorata",0.445867
"28","ceibpe","Ceiba pentandra",0.305149
"29","celtsc","Celtis schippii",0.616
"30","cespma","Cespedesia spathulata",0.61325
"31","chimpa","Chimarrhis parviflora",0.7115
"32","chr2ar","Chrysophyllum argenteum",0.764833
"33","chr2ca","Chrysophyllum cainito",0.655
"34","clidde","Clidemia dentata",0.668236
"35","coccco","Coccoloba coronata",0.671864
"36","colugl","Colubrina glandulosa",0.738667
"37","cordal","Cordia alliodora",0.517429
"38","cordbi","Cordia bicolor",0.475
"39","cordla","Cordia lasiocalyx",0.397
"40","couthe","Coutarea hexandra",0.6
"41","crotbi","Croton billbergianus",0.517382
"42","cupaci","Cupania cinerea",0.5
"43","cupala","Cupania latifolia",0.608708
"44","cuparu","Cupania rufescens",0.608708
"45","dendar","Dendropanax arboreus",0.420594
"46","dio2ar","Diospyros artanthifolia",0.697332
"47","diptpa","Dipteryx oleifera",0.848333
"48","drypst","Drypetes standleyi",0.675
"49","entesc","Enterolobium schomburgkii",0.698917
"50","ery1co","Erythrina costaricensis",0.287567
"51","eugeco","Eugenia coloradoensis",0.724176
"52","eugene","Eugenia nesiotica",0.724176
"53","gar2ma","Garcinia madruno",0.726667
"54","geniam","Genipa americana",0.632074
"55","guapst","Guapira standleyana",0.5994
"56","guargr","Guarea grandifolia",0.545
"57","guargu","Guarea guidonia",0.567514
"58","guarsp","Guarea bullata",0.560551
"59","guatdu","Guatteria dumetorum",0.466
"60","guazul","Guazuma ulmifolia",0.522209
"61","guetfo","Guettarda foliacea",0.725165
"62","gustsu","Gustavia superba",0.58
"63","hameax","Hamelia axillaris",0.6175
"64","hampap","Hampea appendiculata",0.245
"65","hassfl","Hasseltia floribunda",0.53
"66","heisac","Heisteria acuminata",0.69625
"67","heisco","Heisteria concinna",0.64
"68","hirtam","Hirtella americana",0.781668
"69","hirttr","Hirtella triandra",0.68275
"70","huracr","Hura crepitans",0.367333
"71","hyeral","Hieronyma alchorneoides",0.509083
"72","ingaco","Inga cocleensis",0.580505
"73","ingafa","Inga laurina",0.653333
"74","ingago","Inga goldmanii",0.580505
"75","ingama","Inga marginata",0.5518
"76","ingami","Inga oerstediana",0.425
"77","ingape","Inga pezizifera",0.6065
"78","ingapu","Inga punctata",0.56
"79","ingaru","Inga ruiziana",0.580505
"80","ingasa","Inga sapindoides",0.580505
"81","ingasp","Inga spectabilis",0.580505
"82","ingath","Inga thibaudiana",0.580505
"83","jac1co","Jacaranda copaia",0.350667
"84","lacmpa","Lacmellea panamensis",0.4715
"85","laetpr","Laetia procera",0.647255
"86","lafopu","Lafoensia punicifolia",0.705
"87","licahy","Licania hypoleuca",0.9088
"88","lindla","Lindackeria laurina",0.56
"89","loncla","Lonchocarpus heptaphyllus",0.68675
"90","lozapi","Lozania pittieri",0.509333
"91","luehse","Luehea seemannii",0.417
"92","maclti","Maclura tinctoria",0.791562
"93","macrgl","Macrocnemum roseum",0.45
"94","mar1la","Marila laxiflora",0.655327
"95","margno","Margaritaria nobilis",0.59636
"96","maytsc","Maytenus schippii",0.709996
"97","micoar","Miconia argentea",0.589
"98","micoel","Miconia elata",0.47
"99","micoho","Miconia hondurensis",0.618877
"100","myrcga","Myrcia gatunensis",0.814458
"101","myrofr","Myrospermum frutescens",0.83
"102","nectci","Nectandra cissiflora",0.59
"103","nectgl","Nectandra lineata",0.57169
"104","nects1","Nectandra fuzzy",0.57169
"105","ochrpy","Ochroma pyramidale",0.158128
"106","ocotce","Ocotea cernua",0.4535
"107","ocotob","Ocotea oblonga",0.3855
"108","ocotpu","Ocotea puberula",0.4325
"109","ocotwh","Ocotea whitei",0.525773
"110","olmeas","Trophis caucana",0.47
"111","ormoma","Ormosia macrocalyx",0.588616
"112","perexa","Perebea xanthochyma",0.56
"113","phoeci","Cinnamomum triplinerve",0.474415
"114","pipecu","Piper colonense",0.382514
"115","pipepe","Piper perlasense",0.382514
"116","pit1ma","Abarema macradenia",0.438
"117","pit1ru","Cojoba rufescens",0.678168
"118","pla1pi","Platymiscium pinnatum",0.72125
"119","pla2el","Platypodium elegans",0.80575
"120","pochqu","Pachira quinata",0.415
"121","pochse","Pachira sessilis",0.42
"122","posola","Posoqueria latifolia",0.569667
"123","poular","Poulsenia armata",0.350429
"124","pourbi","Pourouma bicolor",0.353167
"125","poutfo","Pouteria fossicola",0.714372
"126","poutre","Pouteria reticulata",0.794
"127","poutst","Pouteria stipitata",0.714372
"128","pri2co","Prioria copaifera",0.413571
"129","protco","Protium costaricense",0.575724
"130","protte","Protium tenuifolium",0.56975
"131","pse1se","Pseudobombax septenatum",0.211667
"132","psidfr","Psidium friedrichsthalianum",0.810091
"133","psycg2","Psychotria tenuifolia",0.493655
"134","pterof","Pterocarpus officinalis",0.379868
"135","pterro","Pterocarpus rohrii",0.449286
"136","quaras","Quararibea asterolepis",0.454
"137","randar","Randia armata",0.668
"138","sapiau","Sapium glandulosum",0.41525
"139","sapisp","Sapium broadleaf",0.412806
"140","sch2mo","Schefflera morototoni",0.453891
"141","simaam","Simarouba amara",0.384643
"142","sipagu","Siparuna guianensis",0.6562
"143","sloate","Sloanea terniflora",0.624723
"144","solaha","Solanum hayesii",0.421683
"145","spacme","Spachea membranacea",0.595
"146","sponmo","Spondias mombin",0.390706
"147","sponra","Spondias radlkoferi",0.430667
"148","stemgr","Stemmadenia grandiflora",0.49
"149","sterap","Sterculia apetala",0.388091
"150","swars1","Swartzia simplex",0.844349
"151","sympgl","Symphonia globulifera",0.6004
"152","tab1gu","Tabebuia guayacan",0.835
"153","tab1ro","Tabebuia rosea",0.5305
"154","tab2ar","Tabernaemontana arborea",0.524667
"155","termam","Terminalia amazonia",0.6735
"156","termob","Terminalia oblonga",0.694167
"157","tet2pa","Tetragastris panamensis",0.717333
"158","tet4jo","Tetrathylacium johansenii",0.62
"159","theoca","Theobroma cacao",0.42
"160","tocopi","Tocoyena pittieri",0.62
"161","tratas","Trattinnickia aspera",0.424
"162","tremin","Trema integerrima",0.335088
"163","tremmi","Trema micrantha",0.319417
"164","tri2pa","Trichilia pallida",0.698125
"165","tri2tu","Trichilia tuberculata",0.6275
"166","tri4ga","Trichospermum galeottii",0.27
"167","tripcu","Triplaris cumingiana",0.52
"168","tropra","Trophis racemosa",0.65925
"169","turpoc","Turpinia occidentalis",0.354805
"171","unonpi","Unonopsis pittieri",0.368
"172","virose","Virola sebifera",0.445375
"173","virosp","Virola multiflora",0.458
"174","virosu","Virola surinamensis",0.417909
"175","vismma","Vismia macrophylla",0.4935
